Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Scotty Stallman,Windsurf Men,Pro Fleet,32.65,31.64,32.15
2,Simon Pettifer,Windsurf Men,Pro Fleet,31.22,31.13,31.18
3,Jim Crossley,Windsurf Men,Pro Fleet,31.53,30.69,31.11
4,Patrick Van Hoof,Windsurf Men,Pro Fleet,29.30,29.21,29.26
5,Garry Connell,Windsurf Men,Pro Fleet,29.32,28.98,29.15
6,Will Trossell,Windsurf Men,Gold Fleet,27.99,27.72,27.86
7,Danny Cartridge,Windsurf Men,Gold Fleet,27.85,27.35,27.60
7,Michael George,Windsurf Men,Pro Fleet,27.70,27.51,27.60
9,Chris Platt,Windsurf Men,Amateur,27.77,26.50,27.14
10,Dave Strudwick,Windsurf Men,Gold Fleet,27.30,26.84,27.07
11,Stuart Trunkfield,Windsurf Men,Gold Fleet,27.07,26.72,26.90
12,Bob Cartridge,Windsurf Men,Pro Fleet,27.21,26.51,26.86
12,George Fulton,Windsurf Men,Gold Fleet,27.15,26.56,26.86
14,Scott Harrison,Windsurf Men,Gold Fleet,26.98,26.43,26.70
15,Paul Arnold,Windsurf Men,Amateur,26.64,26.25,26.44
16,Jean-Marc De Bruyne,Windsurf Men,Pro Fleet,26.46,26.04,26.25
17,Eddie Marsh,Windsurf Men,Gold Fleet,26.25,25.80,26.03
18,Richard Crosby,Windsurf Men,Gold Fleet,26.21,25.47,25.84
19,John Oliver,Windsurf Men,Gold Fleet,25.79,25.75,25.77
20,Tim Bate,Windsurf Men,Amateur,26.20,25.16,25.68
21,Jonny Kirton,Windsurf Men,Amateur,26.19,24.85,25.52
22,Russell Thompson,Windsurf Men,Amateur,25.19,25.03,25.11
23,Joshua Pinder,Windsurf Men,Amateur,25.04,24.99,25.02
24,Andy Stuart-William,Windsurf Men,Gold Fleet,24.99,24.39,24.69
25,Paul Bran,Windsurf Men,Amateur,24.82,23.89,24.36
26,Peter Crosby,Windsurf Men,Gold Fleet,24.95,23.27,24.11
27,Joe Trunkfield,Windsurf Men,Amateur,24.44,23.66,24.05
28,Robin Russell,Windsurf Men,Gold Fleet,24.86,23.14,24.00
29,Steve Watson,Windsurf Men,Amateur,24.00,23.92,23.96
30,Simon Ramsden,Windsurf Men,Amateur,24.41,23.32,23.86
31,Trevor Whatford,Windsurf Men,Gold Fleet,22.29,21.59,21.94
32,Matthew Lilley,Windsurf Men,Amateur,22.84,20.06,21.45
33,Andy Bridge,Windsurf Men,Amateur,23.93,,11.96
34,Matthew York,Windsurf Men,Gold Fleet,21.13,,10.57
35,Rob Longstaff,Windsurf Men,Amateur,19.74,,9.87
