Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Emeric Mouret,Men's Wingboard,Pro Fleet,28.94,28.51,28.72
2,Richard Hobson,Men's Wingboard,Pro Fleet,28.24,27.29,27.76
3,Joe Adams,Men's Wingboard,Amateur,27.36,26.93,27.14
4,Guy Cribb,Men's Wingboard,Pro Fleet,26.80,26.76,26.78
5,Denis Gordo,Men's Wingboard,Amateur,24.84,24.77,24.81
6,Kuba Staite,Men's Wingboard,Amateur,24.69,24.54,24.62
7,Rod Dickinson,Men's Wingboard,Amateur,24.73,23.87,24.30
8,Simon Maguire,Men's Wingboard,Amateur,24.29,23.96,24.13
9,Andrew Collenette,Men's Wingboard,Amateur,23.37,23.25,23.31
10,Simon Perkins,Men's Wingboard,Amateur,22.05,21.85,21.95
11,Chris Cunningham,Men's Wingboard,Amateur,21.92,21.60,21.76
12,Paul Wakelin,Men's Wingboard,Pro Fleet,20.08,19.99,20.04
13,Mark Salvage,Men's Wingboard,Amateur,15.34,15.11,15.22
14,Freddie Oldfield,Men's Wingboard,Pro Fleet,20.35,,10.18
15,Martin Carter,Men's Wingboard,Amateur,17.67,,8.84
