Place,Helmname,Fleet,Sail No,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Emeric Mouret,Youth Women,FRA-650,28.85,28.43,28.64
2,Richard Hobson,Youth Women,GBR-80,27.59,27.41,27.50
3,James Bulson,Youth Women,GBR-960,27.11,27.09,27.10
4,Denis Gordo,Youth Women,GBR-300,25.17,24.59,24.88
5,Ellie Aldridge,Youth Women,GBR-770,24.02,23.87,23.94
6,Simon Maguire,Youth Women,GBR-260,23.64,23.63,23.63
7,Chris Cunningham,Youth Women,GBR-160,23.57,23.37,23.47
8,Simon Perkins,Youth Women,GBR-340,22.53,22.47,22.50
9,Dave Williams,Youth Women,GBR-440,22.39,22.34,22.36
10,Mark McCafferty,Youth Women,GBR-450,22.08,21.47,21.78
11,Paul Wakelin,Youth Women,GBR-370,21.77,21.75,21.76
12,Simon Sanderson,Youth Women,GBR-310,18.93,18.43,18.68
13,Helena Darvelid,Youth Women,GBR-940,17.85,17.71,17.78
14,Mark Salvage,Youth Women,GBR-410,16.02,16.01,16.02
15,Andy Stuart-William,Youth Women,GBR-70,15.35,15.32,15.33
