Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Scotty Stallman,Men's Sailboard,Pro Fleet,36.09,35.74,35.92
2,Simon Pettifer,Men's Sailboard,Pro Fleet,36.27,35.52,35.90
3,Mark Newman,Men's Sailboard,Pro Fleet,35.21,35.11,35.16
4,Jim Crossley,Men's Sailboard,Pro Fleet,34.65,34.57,34.61
5,Garry Connell,Men's Sailboard,Pro Fleet,32.98,31.84,32.41
6,Patrick Van Hoof,Men's Sailboard,Pro Fleet,32.48,32.02,32.25
7,George Fulton,Men's Sailboard,Gold Fleet,31.88,31.86,31.87
8,John Oliver,Men's Sailboard,Gold Fleet,32.21,31.46,31.83
9,James Brake,Men's Sailboard,Gold Fleet,31.14,31.01,31.08
10,Zack Peaple,Men's Sailboard,Gold Fleet,31.15,30.87,31.01
11,Bob Cartridge,Men's Sailboard,Pro Fleet,32.17,29.71,30.94
12,Sam Latham,Men's Sailboard,Gold Fleet,30.65,29.89,30.27
13,Michael George,Men's Sailboard,Pro Fleet,30.57,29.63,30.10
14,Will Trossell,Men's Sailboard,Gold Fleet,30.81,29.37,30.09
15,Andy Turvey,Men's Sailboard,Gold Fleet,30.18,29.86,30.02
16,Maciej Bukolt,Men's Sailboard,Amateur,30.85,29.05,29.95
17,Jean-Marc De Bruyne,Men's Sailboard,Pro Fleet,29.94,29.80,29.87
18,Richard Crosby,Men's Sailboard,Gold Fleet,30.49,28.99,29.74
19,Scott Norman,Men's Sailboard,Gold Fleet,29.87,29.52,29.70
20,Danny Cartridge,Men's Sailboard,Gold Fleet,29.86,29.32,29.59
21,Robin Russell,Men's Sailboard,Gold Fleet,30.14,28.87,29.51
22,Chris Platt,Men's Sailboard,Amateur,29.64,29.01,29.33
23,Peter Crosby,Men's Sailboard,Gold Fleet,29.54,28.70,29.12
24,Matthew York,Men's Sailboard,Gold Fleet,29.92,28.25,29.09
25,Tim Bate,Men's Sailboard,Amateur,29.13,28.94,29.04
26,Scott Harrison,Men's Sailboard,Gold Fleet,28.81,28.33,28.57
27,Paul Arnold,Men's Sailboard,Amateur,28.39,28.34,28.36
28,Dave Strudwick,Men's Sailboard,Gold Fleet,28.99,27.72,28.35
29,Andrew Twinn,Men's Sailboard,Gold Fleet,28.09,27.90,27.99
30,Stuart Trunkfield,Men's Sailboard,Gold Fleet,28.02,27.75,27.89
31,Russell Thompson,Men's Sailboard,Amateur,27.37,26.63,27.00
32,Andy Stuart-William,Men's Sailboard,Gold Fleet,26.69,26.66,26.68
33,Jonny Kirton,Men's Sailboard,Amateur,26.93,26.39,26.66
34,Rob Dunn,Men's Sailboard,Amateur,26.64,26.49,26.57
35,Steve Watson,Men's Sailboard,Amateur,26.51,26.16,26.34
36,Joshua Pinder,Men's Sailboard,Amateur,26.34,26.05,26.20
37,Eddie Marsh,Men's Sailboard,Gold Fleet,27.42,24.21,25.82
38,Matthew Lilley,Men's Sailboard,Amateur,25.37,25.31,25.34
39,Joe Trunkfield,Men's Sailboard,Amateur,25.06,24.90,24.98
40,Rob Longstaff,Men's Sailboard,Amateur,21.81,21.53,21.67
41,Andy Bridge,Men's Sailboard,Amateur,24.11,,12.06
