ID,Title,First Name,Family Name,Country,Sail No,Craft Type,Age
1,Mr,Antoine,Albeau,France,FRA-192,Windsurf,Adult
2,Mr,Antonio,Mora Molina,Spain,ESP-0,Windsurf,Adult
3,Mr,Cedric,Bordes,France,FRA-91,Windsurf,Adult
4,Mr,Charly,Delisle,France,FRA-51,Windsurf,Adult
5,Mr,Charly,Djen,France,FRA-889,Windsurf,Adult
6,Mr,Cyril,Evrard,Belgium,BEL-250,Windsurf,Adult
7,Mr,Cyril,Michel,France,FRA-8,Windsurf,Adult
8,Mr,Enrique,Del Valle,Spain,ESP-719,Windsurf,Adult
9,Mr,Fabrice,Robert,France,FRA-816,Windsurf,Adult
10,Mr,Francisco,Delondri,Poland,POL-200,Windsurf,Adult
11,Mr,Heidi,Ulrich,Switzerland,SUI-204,Windsurf,Adult
12,Mr,Klaus,Kuppenbender,Germany,GER-18,Windsurf,Adult
13,Mr,Laurent,Fesquet,France,FRA-66,Windsurf,Adult
14,Mr,Nicolas,Warembourg,France,FRA-531,Windsurf,Adult
15,Mr,Rainer,Motloch,Germany,GER-37,Windsurf,Adult
16,Mr,Roger,Orvang,Sweden,SWE-52,Windsurf,Adult
17,Mr,Sebastien,Bourgeois,France,FRA-6,Windsurf,Adult
18,Mr,Vincent,Valkenears,Belgium,BEL-62,Windsurf,Adult
19,Mr,Alain,De Sa Pinheiro,France,FRA-5,Kite,Adult
20,Mr,Franck,Veillon,France,FRA-4,Kite,Adult
21,Mr,Patrice,Imart,France,FRA-7,Kite,Adult
22,Mr,Yann,Derrien,France,FRA-40,Kite,Adult
