Entrant ID,Motion ID,Start Date,End Date,File ID,First Name,Family Name,Craft Type
1,801,2025-04-27,2025-05-06,PRU801AIV,Aivo,Prükk,Windsurf
2,802,2025-04-27,2025-05-06,VIS802ALW,Alwin,Visker,Windsurf
3,803,2025-04-27,2025-05-06,LAU803AND,Andy,Laufer,Windsurf
4,804,2025-04-27,2025-05-06,ALB804ANT,Antoine,Albeau,Windsurf
5,805,2025-04-27,2025-05-06,TEI805AUG,Augusto,Teixeira,Windsurf
6,806,2025-04-27,2025-05-06,STE806BEN,Ben,van der Steen,Windsurf
7,807,2025-04-27,2025-05-06,HAA807BJO,Bjorn,Haacke,Windsurf
8,808,2025-04-27,2025-05-06,DUN808BJO,Bjorn,Dunkerbeck,Windsurf
9,810,2025-04-27,2025-05-06,ALA810BLA,Blanca,Alabau,Windsurf
10,811,2025-04-27,2025-05-06,LOR811BRE,Brendan,Lorho,Windsurf
11,812,2025-04-27,2025-05-06,DEL812CHA,Charly,Delisle,Windsurf
12,813,2025-04-27,2025-05-06,DJE813CHA,Charly,Djen,Windsurf
13,814,2025-04-27,2025-05-06,BOR814CHR,Christian,Bornemann,Windsurf
14,816,2025-04-27,2025-05-06,BEN816DAN,Daniele,Benedetti,Windsurf
15,817,2025-04-27,2025-05-06,HOE817EDU,Edu,Hoekstra,Windsurf
16,818,2025-04-27,2025-05-06,BUR818EDW,Edwin,Buruma,Windsurf
17,819,2025-04-27,2025-05-06,DEB819FRA,Franek,Debowski,Windsurf
18,821,2025-04-27,2025-05-06,SCH821GAS,Gaspar Evelio,Schwarzenlander,Windsurf
19,822,2025-04-27,2025-05-06,DEM822GUI,Guillaume,Demartres,Windsurf
20,823,2025-04-27,2025-05-06,LEM823GUI,Guillaume,Lemoine,Windsurf
21,824,2025-04-27,2025-05-06,KRE824HAN,Hans,Kreisel,Windsurf
22,826,2025-04-27,2025-05-06,CLA826HAR,Harald,Claessen,Windsurf
23,827,2025-04-27,2025-05-06,ULR827HEI,Heidi,Ulrich,Windsurf
24,829,2025-04-27,2025-05-06,HOU829JAC,Jacques,van der Hout,Windsurf
25,833,2025-04-27,2025-05-06,ZAH833JAN,Jan,Zahradnicek,Windsurf
26,836,2025-04-27,2025-05-06,GIR836JEA,Jean,Giroux,Windsurf
27,838,2025-04-27,2025-05-06,GIB838JEN,Jenna,Gibson,Windsurf
28,841,2025-04-27,2025-05-06,CRO841JIM,Jim,Crossley,Windsurf
29,849,2025-04-27,2025-05-06,KUP849KLA,Klaus,Küppenbender,Windsurf
30,852,2025-04-27,2025-05-06,FES852LAU,Laurent,Fesquet,Windsurf
31,853,2025-04-27,2025-05-06,JUD853LEO,Leonid,Judin,Windsurf
32,854,2025-04-27,2025-05-06,POP854MAR,Marek,Popo,Windsurf
33,857,2025-04-27,2025-05-06,NAT857MAR,Maria,Natal Ama,Windsurf
34,858,2025-04-27,2025-05-06,IAC858MAT,Matteo,Iachino,Windsurf
35,861,2025-04-27,2025-05-06,GEO861MIC,Michael,George,Windsurf
36,866,2025-04-27,2025-05-06,WAR866NIC,Nicolas,Warembourg,Windsurf
37,867,2025-04-27,2025-05-06,WIE867NIC,Nico,Wierstra,Windsurf
38,869,2025-04-27,2025-05-06,BER869PAO,Paolo,Berardi,Windsurf
39,870,2025-04-27,2025-05-06,BOU870PAS,Pascal,Boulanger,Windsurf
40,871,2025-04-27,2025-05-06,ORN871ROG,Roger,Ornvang,Windsurf
41,872,2025-04-27,2025-05-06,RUI872ROL,Rolf,de Ruiter,Windsurf
42,873,2025-04-27,2025-05-06,PET873SIM,Simon,Pettifer,Windsurf
43,935,2025-04-27,2025-05-06,LEL935THE,Theo,di Lello,Windsurf
44,942,2025-04-27,2025-05-06,MOL942THO,Thomas,Moldenhauer,Windsurf
45,952,2025-04-27,2025-05-06,LUI952THO,Thorsten,Luig,Windsurf
46,978,2025-04-27,2025-05-06,MAL978TOM,Tom,Malina,Windsurf
47,979,2025-04-27,2025-05-06,TJE979TRI,Tristan,Tjerks,Windsurf
48,998,2025-04-27,2025-05-06,VAL998VIN,Vincent,Valkenaers,Windsurf
49,1020,2025-04-27,2025-05-06,VAN1020WIL,Wilfried,Vanherweghe,Windsurf
50,1033,2025-04-27,2025-05-06,HUP1033WIL,William,Huppert,Windsurf
51,1035,2025-04-27,2025-05-06,BOU1035SEB,Sébastien,Bourgeois,Windsurf
52,1039,2025-04-27,2025-05-06,ROB1039FAB,Fabrice,Robert,Windsurf
53,1043,2025-04-27,2025-05-06,WES1043ISA,Isabelle,Westerveld,Windsurf
54,1045,2025-04-27,2025-05-06,GYG1045JAN,Jan,Gyger,Windsurf
55,1037,2025-04-27,2025-05-06,ROL1037NEL,Nelson,Moura,Windsurf
56,665,2025-04-27,2025-05-06,SET665SUF,Sufyan,Setti,Windsurf
57,694,2025-04-27,2025-05-06,FOL694JOS,Joseph,Folley,Windsurf
58,705,2025-04-27,2025-05-06,BER705JOA,Joa,van den Berg,Windsurf
59,718,2025-04-27,2025-05-06,BOR718CED,Cédric,Bordes,Windsurf
60,631,2025-04-27,2025-05-06,BEN631CHR,Chris,Benzing,Windsurf
