Place,HelmName,Fleet,Sail No
1,Hans Kreisel,Windsurf Men,NED-85
2,Antoine Albeau,Windsurf Men,FRA-192
3,Vincent Valkenaers,Windsurf Men,BEL-62
4,Jacques van der Hout,Windsurf Men,NED-35
5,Simon Pettifer,Windsurf Men,GBR-67
6,Thorsten Luig,Windsurf Men,GER-211
7,Nicolas Warembourg,Windsurf Men,FRA-531
8,Jim Crossley,Windsurf Men,GBR-33
9,Rolf de Ruiter,Windsurf Men,NED-177
10,Andy Laufer,Windsurf Men,GER-93
11,Pascal Boulanger,Windsurf Men,FRA-800
12,Tom Malina,Windsurf Men,CZE-109
13,Nico Wierstra,Windsurf Men,NED-81
14,Thomas Moldenhauer,Windsurf Men,GER-215
15,Fabrice Robert,Windsurf Men,FRA-816
16,Sébastien Bourgeois,Windsurf Men,FRA-665
17,Alwin Visker,Windsurf Men,NED-260
18,Aivo Prükk,Windsurf Men,EST-314
19,Klaus Küppenbender,Windsurf Men,GER-18
20,Wilfried Vanherweghe,Windsurf Men,FRA-163
21,Bjorn Haacke,Windsurf Men,GER-1
22,Nelson Moura,Windsurf Men,ESP-300
23,Christian Bornemann,Windsurf Men,GER-29
24,Leonid Judin,Windsurf Men,SRB-1
25,Jan Gyger,Windsurf Men,SUI-39
26,Edu Hoekstra,Windsurf Men,?
27,Theo di Lello,Windsurf Men,FRA-19
28,Tristan Tjerks,Windsurf Men,NED-555
29,Augusto Teixeira,Windsurf Men,POR-131
30,Edwin Buruma,Windsurf Men,NED-288
31,Jean Giroux,Windsurf Men,FRA-95
32,Marek Popo,Windsurf Men,CZE-902
33,Jan Zahradnicek,Windsurf Men,CZE-903
34,Paolo Berardi,Windsurf Men,ITA-2
35,Charly Djen,Windsurf Men,FRA-889
36,Guillaume Demartres,Windsurf Men,IRE-10
