Place,HelmName,Fleet,Sail No
1,Pierre Mortefon,Windfoil Open,FRA-14
2,Hugo Sjöberg,Windfoil Open,SWE-45
3,Matteo Iachino,Windfoil Open,ITA-140
4,Bruno Martini,Windfoil Open,ITA-160
5,Nicolas Goyard,Windfoil Open,FRA-465
6,Antoine Albeau,Windfoil Open,FRA-192
7,Brendan Lorho,Windfoil Open,FRA-113
8,William Huppert,Windfoil Open,FRA-330
9,Cyril Evrard,Windfoil Open,BEL-250
10,Amado Vrieswijk,Windfoil Open,NED-20
11,Cédric Bordes,Windfoil Open,FRA-91
12,Sem Stroosma,Windfoil Open,NED-450
13,Justine Lemeteyer,Windfoil Open,FRA-171
14,Maé Davico,Windfoil Open,FRA-203
15,Michael George,Windfoil Open,GBR-888
16,Chris Benzing,Windfoil Open,GER-77
17,Tom Bouilly,Windfoil Open,FRA-7777
