Place,HelmName,Fleet,Sail No
1,Amado Vrieswijk,Windfoil Open,NED-20
2,Nicolas Goyard,Windfoil Open,FRA-465
3,Cyril Evrard,Windfoil Open,BEL-250
4,Matteo Iachino,Windfoil Open,ITA-140
5,Pierre Mortefon,Windfoil Open,FRA-14
6,Bruno Martini,Windfoil Open,ITA-160
7,William Huppert,Windfoil Open,FRA-330
8,Cédric Bordes,Windfoil Open,FRA-91
9,Hugo Sjöberg,Windfoil Open,SWE-45
10,Antoine Albeau,Windfoil Open,FRA-192
11,Brendan Lorho,Windfoil Open,FRA-113
12,Justine Lemeteyer,Windfoil Open,FRA-171
13,Maé Davico,Windfoil Open,FRA-203
14,Michael George,Windfoil Open,GBR-888
15,Bjorn Haacke,Windfoil Open,GER-1
