Place,HelmName,Fleet,Sail No
1,Matteo Iachino,Windsurf,ITA-140
2,Antoine Albeau,Windsurf,FRA-192
3,Vincent Valkenaers,Windsurf,BEL-62
4,Bruno Martini,Windsurf,ITA-160
5,Cédric Bordes,Windsurf,FRA-91
6,Pascal Boulanger,Windsurf,FRA-800
7,Charly Djen,Windsurf,FRA-889
8,Laurent Fesquet,Windsurf,FRA-66
9,Fabrice Robert,Windsurf,FRA-816
10,Julien Morel,Windsurf,FRA-332
11,Alexandros Petikidis,Windsurf,GRE-350
12,Augusto Teixeira,Windsurf,POR-131
13,Roger Ornvang,Windsurf,SWE-52
14,Enrique Del Valle,Windsurf,ESP-719
15,Walter Tofalvi,Windsurf,GER-152
16,Hugo Cox,Windsurf,FRA-1095
